"gene_id","SAMEA4497164_output_filtered.bam","SAMEA4497165_output_filtered.bam","SAMEA4497166_output_filtered.bam","SAMEA4497167_output_filtered.bam"
"PVP01_1406000",3,1,4,2
"PVP01_1238500",360,286,66,785
"PVP01_0003540",0,0,0,0
"PVP01_0703600",49,72,133,36
"PVP01_1209100",456,210,238,341
"PVP01_0930700",3,2,11,10
"PVP01_1408400",16,60,15,17
"PVP01_1307200",3196,1561,2186,2782
"PVP01_0009110",0,0,0,0
"PVP01_1220200",6700,7675,7042,10477
"PVP01_1438700",2250,1975,1880,1841
"PVP01_0604200",5394,6492,5447,6573
"PVP01_1201100",8,5,5,1
"PVP01_0700800",1011,665,1127,1173
"PVP01_0006580",0,0,0,0
"PVP01_0219800",0,0,0,0
"PVP01_0007210",0,0,0,0
"PVP01_0208900",484,586,528,376
"PVP01_0915200",20,12,59,47
"PVP01_0007450",0,0,0,0
"PVP01_0003240",0,0,0,0
"PVP01_1003000",1584,1088,1022,1327
"PVP01_1340600",4231,3867,4742,4310
"PVP01_0727500",1069,1334,1038,1444
"PVP01_1004600",364,371,298,433
"PVP01_1227600",817,414,467,591
"PVP01_0910400",0,0,0,0
"PVP01_1125100",411,251,539,480
"PVP01_0909800",56,47,48,70
"PVP01_1339000",1430,728,846,905
"PVP01_1433500",22,24,24,43
"PVP01_0507200",2708,3188,2909,4482
"PVP01_1268200",1039,1631,1361,1018
"PVP01_0315300",859,418,369,455
"PVP01_1023000",85,49,68,83
"PVP01_1422600",764,664,563,593
"PVP01_0010410",0,0,0,0
"PVP01_0518400",819,518,2068,564
"PVP01_1245600",4086,2735,2736,3871
"PVP01_1437300",1035,963,1853,1543
"PVP01_0004690",0,0,0,0
"PVP01_0616800",660,439,718,433
"PVP01_0601000",85,61,161,91
"PVP01_0700300",349,109,1369,184
"PVP01_0706700",5314,5833,5735,6299
"PVP01_0934200",47,17,18,31
"PVP01_0404500",544,358,529,409
"PVP01_0003570",0,0,0,0
"PVP01_0006850",0,0,0,0
"PVP01_1201400",38,36,68,98
"PVP01_0009180",0,0,0,0
"PVP01_1234200",743,562,1049,1312
"PVP01_1401100",2178,1732,2501,4657
"PVP01_1010800",7,33,49,59
"PVP01_0901600",1283,1343,1993,1788
"PVP01_1430300",20,15,71,37
"PVP01_0400300",6,4,0,1
"PVP01_0001600",0,0,0,0
"PVP01_0708000",3849,3167,2905,2856
"PVP01_0000680",0,0,0,0
"PVP01_1018300",1621,1330,1233,1466
"PVP01_1025500",3892,4136,5092,4585
"PVP01_0723400",20,23,24,21
"PVP01_1421400",576,297,620,548
"PVP01_0010740",0,0,0,0
"PVP01_API00400",0,0,0,0
"PVP01_1400400",2,2,0,1
"PVP01_0508000",142,120,157,182
"PVP01_0007560",0,0,0,0
"PVP01_0529700",489,320,657,462
"PVP01_0001980",0,0,0,0
"PVP01_1114400",1525,1812,1992,1748
"PVP01_0009540",0,0,0,0
"PVP01_0705500",8,13,5,8
"PVP01_0010980",0,0,0,0
"PVP01_0534700",0,0,0,0
"PVP01_0211200",1315,1067,1545,1193
"PVP01_1203900",2,6,3,5
"PVP01_0503600",65,50,130,41
"PVP01_1246600",517,365,841,892
"PVP01_1413100",535,173,595,400
"PVP01_0110400",10697,10861,10074,14264
"PVP01_1217100",10,9,17,14
"PVP01_0010470",0,0,0,0
"PVP01_1205600",79,55,87,15
"PVP01_1329000",769,1354,1001,923
"PVP01_0524700",13,19,27,28
"PVP01_0806900",4061,2348,1747,2136
"PVP01_0009550",0,0,0,0
"PVP01_1225000",2954,2790,2129,2820
"PVP01_0523100",1075,593,528,922
"PVP01_0805800",714,621,1310,965
"PVP01_1312000",274,92,345,230
"PVP01_1412100",2730,2505,3355,3131
"PVP01_0004740",0,0,0,0
"PVP01_0005560",0,0,0,0
"PVP01_1255600",1369,1342,1499,1721
"PVP01_0004360",0,0,0,0
"PVP01_0319400",5066,4846,10740,3968
"PVP01_1120900",51,2,4,1
"PVP01_0839000",0,0,0,0
"PVP01_1453300",2564,2173,3079,2632
"PVP01_0009460",0,0,0,0
"PVP01_0007690",0,0,0,0
"PVP01_0603200",24,117,41,38
"PVP01_0917900",0,0,1,1
"PVP01_1123700",3771,4289,5635,6439
"PVP01_1340100",0,0,1,2
"PVP01_1247900",885,539,819,825
"PVP01_0007230",0,0,0,0
"PVP01_0006090",0,0,0,0
"PVP01_0006570",0,0,0,0
"PVP01_0928800",72,70,9,9
"PVP01_0823600",335,436,396,505
"PVP01_1327100",938,1003,1394,1144
"PVP01_0506100",202,280,177,279
"PVP01_1334500",3147,2630,3171,3025
"PVP01_0612800",6,6,16,17
"PVP01_0921500",1498,1700,2529,1608
"PVP01_1267500",47,56,59,68
"PVP01_0523700",631,561,797,1078
"PVP01_0706300",185,164,161,277
"PVP01_1472100",268,1,9,7
"PVP01_1327700",846,674,716,719
"PVP01_1339600",155,144,134,214
"PVP01_1112700",935,472,664,648
"PVP01_0002420",0,0,0,0
"PVP01_0829900",1115,874,841,1467
"PVP01_0104500",2391,2773,2643,3239
"PVP01_1207800",207,273,454,396
"PVP01_1206800",1306,1162,560,908
"PVP01_0519400",579,264,858,457
"PVP01_0305800",98,77,52,82
"PVP01_1418200",6373,4865,4157,5047
"PVP01_1027200",5260,4004,5755,3654
"PVP01_1007400",106,88,111,132
"PVP01_0730600",195,190,218,161
"PVP01_0723500",118,94,115,113
"PVP01_0832500",3482,3843,3970,4660
"PVP01_0731900",87,126,221,200
"PVP01_0002110",0,0,0,0
"PVP01_1135700",411,435,373,585
"PVP01_0726800",200,182,264,263
"PVP01_1019800",490,220,518,271
"PVP01_0004990",0,0,0,0
"PVP01_0408500",3917,2559,2563,3360
"PVP01_0312700",510,481,787,876
"PVP01_0947300",0,0,0,0
"PVP01_0301000",211,264,298,407
"PVP01_0716000",4385,3753,4369,5262
"PVP01_0007710",0,0,0,0
"PVP01_1254200",189,171,400,275
"PVP01_1255300",6762,7945,5245,8563
"PVP01_1466600",6,2,14,7
"PVP01_0407900",817,667,632,706
"PVP01_0530400",176,85,292,113
"PVP01_1230200",648,531,410,856
"PVP01_1452800",4800,4005,3956,5100
"PVP01_0000810",0,0,0,0
"PVP01_1443100",18,73,7,98
"PVP01_1146300",2723,1678,2270,2014
"PVP01_1441600",16,22,18,30
"PVP01_0219600",0,0,0,0
