gene_id	Rings	Trophozoites 30	Trophozoites 36	Schizonts
PVP01_1421900	100	100	1	272
PVP01_1426100	100	100	100	100
PVP01_1426300	100	100	100	100
PVP01_1427800	1	255	100	100
PVP01_1429000	100	100	100	100
PVP01_1431600	100	100	100	100
PVP01_1438700	100	100	259	1
PVP01_1439200	100	100	100	100
PVP01_1440900	100	100	100	1796
PVP01_1441300	100	100	100	100
PVP01_1442300	100	100	2393	1
PVP01_1445700	100	100	229	1
PVP01_1446800	100	100	100	100
PVP01_1447400	100	100	100	100
PVP01_1447500	1	4275	100	100
PVP01_1448000	100	100	1	200
PVP01_1449600	100	100	100	100
PVP01_1450700	100	100	100	100
PVP01_1451700	100	100	100	100
PVP01_1453700	100	100	793	1
PVP01_1455100	100	100	100	100
PVP01_1456000	100	100	100	1854
PVP01_1457300	100	100	100	100
PVP01_1459000	100	100	386	1
PVP01_1459800	100	100	100	100
PVP01_1460800	100	100	100	100
PVP01_1461200	100	100	1	241
PVP01_1463400	100	100	100	100
PVP01_1463500	100	100	100	1521
PVP01_1467300	100	100	1	372
PVP01_1468300	100	100	1	909
PVP01_1469200	100	100	100	100
